OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2709,32021866,-2.912149339,39.02577258,0,0,0,7.6,8.13,18.14,11.9,486,10.4,1.5,428.6,E10,U420,ES,ES4,ES42,ES422,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use
2710,32021898,-2.968776829,39.3110497,0,0,0,7.7,8.29,15.92,5.5,54,23,0.7,236.3,B82,U111,ES,ES4,ES42,ES422,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
2711,32021944,-3.051391738,39.72088121,0,0,0,7.5,8.14,23.9,21.1,327,113.4,2.2,495.9,E30,U112,ES,ES4,ES42,ES425,Grassland,Spontaneously re-vegetated surfaces,Fallow land
2712,32021980,-3.117064185,40.04141125,0,0,0,7.7,7.79,227,20.1,289,0,1.4,162,C22,U120,ES,ES4,ES42,ES423,Woodland,Pine dominated coniferous woodland,Forestry
2713,32021988,-3.131781233,40.11261554,0,0,0,7.6,8.24,14.38,8.5,391,27,1,177,B13,U111,ES,ES3,ES30,ES300,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2714,32022010,-3.172486677,40.30838135,0,0,0,7.3,7.75,20.2,5.8,2,5.1,0.7,233,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2715,32022028,-3.206048035,40.46850339,0,0,0,6.2,6.5,18.91,7.8,0,39.8,0.9,231.9,B13,U111,ES,ES3,ES30,ES300,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2716,32022064,-3.27387354,40.78861316,0,0,0,4.5,5.02,10.72,5.9,3,44.2,0.7,140.3,F40,U112,ES,ES4,ES42,ES424,Bareland,Other bare soil,Fallow land
2717,32022132,-3.404599865,41.39277987,16,41,43,6.2,6.38,9.34,26,1,0,2.4,131.6,C10,U120,ES,ES4,ES41,ES416,Woodland,Broadleaved woodland,Forestry
2718,32022142,-3.424118143,41.48157477,46,18,36,7.3,7.75,14.8,13.3,197,7.1,1.6,477.1,F40,U112,ES,ES4,ES41,ES416,Bareland,Other bare soil,Fallow land
2719,32022160,-3.459444122,41.64137144,0,0,0,7.7,8.24,21.2,10.1,228,8.1,1,113.6,E30,U111,ES,ES4,ES41,ES412,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
2720,32022168,-3.475224748,41.71237812,0,0,0,7.4,7.93,12.64,3.9,2,0,0.6,85.2,C23,U120,ES,ES4,ES41,ES412,Woodland,Other coniferous woodland,Forestry
2721,32022172,-3.483133665,41.74787822,0,0,0,7.6,8.19,16.16,9.7,415,13.5,1.1,154.5,B13,U111,ES,ES4,ES41,ES412,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2722,32022196,-3.530849301,41.96083352,25,21,55,5.8,6.14,12.09,40,0,0,3.1,202,C33,U120,ES,ES4,ES41,ES412,Woodland,Other mixed woodland,Forestry
